Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date
ACCID235,460130,451630,-1.085103,53.957273,3,2,1,15/07/2009
ACCID236,457750,450150,-1.121649,53.944243,3,1,1,19/07/2009
ACCID237,459980,451640,-1.087387,53.95738,3,1,1,19/07/2009
ACCID238,461190,456690,-1.067936,54.002621,3,2,3,19/07/2009
ACCID239,457760,450920,-1.121351,53.951162,3,2,1,20/07/2009
ACCID240,457950,454750,-1.11773,53.98556,3,1,1,22/07/2009
ACCID241,457590,452480,-1.123648,53.9652,3,2,1,24/07/2009
ACCID242,459780,455960,-1.089588,53.996226,3,2,1,27/07/2009
ACCID243,457530,454880,-1.12411,53.986775,3,2,1,27/07/2009
ACCID244,460050,452310,-1.086188,53.963393,3,1,1,28/07/2009
ACCID245,461950,451990,-1.057297,53.960294,3,2,2,29/07/2009
ACCID246,462200,451280,-1.053632,53.953883,3,2,1,29/07/2009
ACCID247,456830,451010,-1.135504,53.952073,3,2,1,30/07/2009
ACCID248,461750,451060,-1.060533,53.95196,3,3,1,31/07/2009
ACCID249,462660,456460,-1.04556,54.000378,3,4,2,31/07/2009
ACCID250,462640,451280,-1.046928,53.95383,3,2,4,01/08/2009
ACCID251,459360,457600,-1.095675,54.011012,3,3,3,01/08/2009
ACCID252,455100,451360,-1.1618,53.955406,2,2,1,02/08/2009
ACCID253,468670,447300,-0.955947,53.9173,1,2,1,05/08/2009
ACCID254,460350,451610,-1.081755,53.957068,3,1,1,05/08/2009
ACCID255,459590,448310,-1.093978,53.927499,3,1,1,06/08/2009
ACCID256,464970,451230,-1.011438,53.953094,3,2,2,07/08/2009
ACCID257,459870,458490,-1.087718,54.018952,3,1,1,29/07/2009
ACCID258,458850,449920,-1.104937,53.942052,3,2,2,07/08/2009
ACCID259,460730,451570,-1.075972,53.956664,3,2,1,07/08/2009
ACCID260,459940,450940,-1.088134,53.951094,2,3,1,08/08/2009
ACCID261,461850,451420,-1.058936,53.955183,3,1,1,08/08/2009
ACCID262,461520,452560,-1.063735,53.965467,3,2,2,08/08/2009
ACCID263,453410,453870,-1.187113,53.97814,3,2,1,09/08/2009
ACCID264,456840,451520,-1.135257,53.956656,3,2,1,10/08/2009
ACCID265,469510,450940,-0.942333,53.949899,3,2,3,10/08/2009
ACCID266,459670,451660,-1.092107,53.957596,3,2,1,11/08/2009
ACCID267,457580,448970,-1.124461,53.933657,3,2,1,12/08/2009
ACCID268,462570,451570,-1.047935,53.956445,3,2,1,12/08/2009
ACCID269,461640,453440,-1.061729,53.973361,2,2,2,12/08/2009
ACCID270,461040,453390,-1.070885,53.972983,3,2,1,12/08/2009
ACCID271,460410,451770,-1.080809,53.958498,3,1,1,13/08/2009
ACCID272,459740,455890,-1.090212,53.995601,3,2,1,14/08/2009
ACCID273,457370,450040,-1.127458,53.943297,3,1,1,14/08/2009
ACCID274,456880,454180,-1.134152,53.980556,3,2,1,16/08/2009
ACCID275,466270,457900,-0.990182,54.012869,3,4,2,16/08/2009
ACCID276,459990,451930,-1.087177,53.959985,3,2,1,17/08/2009
ACCID277,459460,455820,-1.094496,53.995005,3,2,4,17/08/2009
ACCID278,459920,452410,-1.08815,53.964307,3,2,1,19/08/2009
ACCID279,461050,448160,-1.071777,53.925981,3,1,2,19/08/2009
ACCID280,456790,454030,-1.135552,53.979218,3,3,1,19/08/2009
ACCID281,466240,457880,-0.990644,54.012693,3,2,2,19/08/2009
ACCID282,456450,446730,-1.142083,53.913651,3,1,1,20/08/2009
ACCID283,466060,450480,-0.994992,53.946216,3,1,1,21/08/2009
ACCID284,460940,450980,-1.07289,53.951337,3,1,1,22/08/2009
ACCID285,460440,451110,-1.080482,53.952564,3,2,1,22/08/2009
ACCID286,458840,448230,-1.105414,53.926866,3,1,2,22/08/2009
ACCID287,461070,453110,-1.070483,53.970463,3,2,1,24/08/2009
ACCID288,460350,454010,-1.08128,53.978636,3,2,1,25/08/2009
ACCID289,460490,451340,-1.079675,53.954625,3,2,1,25/08/2009
ACCID290,460090,452200,-1.0856,53.9624,3,2,1,25/08/2009
ACCID291,461790,455570,-1.059011,53.992485,2,2,1,26/08/2009
ACCID292,460100,452250,-1.085438,53.962848,2,2,1,19/03/2009
ACCID293,460200,451140,-1.084133,53.952861,3,1,1,26/08/2009
ACCID294,457770,450130,-1.121348,53.944061,3,2,1,27/08/2009
ACCID295,462970,450590,-1.042042,53.947589,3,2,1,29/08/2009
ACCID296,463030,460620,-1.039055,54.037718,3,1,1,30/08/2009
ACCID297,457530,450810,-1.124876,53.950199,3,1,1,29/09/2009
ACCID298,460150,450720,-1.084977,53.949093,3,2,1,01/09/2009
ACCID299,461070,451420,-1.070821,53.955276,3,1,1,02/09/2009
ACCID300,460780,452450,-1.075035,53.964566,3,2,1,02/09/2009
