Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date
ACCID1098,461272,452687,-1.067507,53.966639,3,2,1,11/02/2015
ACCID1099,457656,444450,-1.124169,53.893031,3,1,1,14/02/2015
ACCID1100,464345,454455,-1.020299,53.982154,2,1,2,14/02/2015
ACCID1101,459474,451132,-1.095213,53.952874,3,2,1,14/02/2015
ACCID1102,459676,451379,-1.092087,53.955071,3,1,1,15/02/2015
ACCID1103,460148,452098,-1.084753,53.961478,3,2,1,16/02/2015
ACCID1104,468660,451216,-0.95524,53.952494,3,3,1,17/02/2015
ACCID1105,460860,449932,-1.074334,53.94193,2,2,1,17/02/2015
ACCID1106,458697,455530,-1.106206,53.992486,3,2,1,18/02/2015
ACCID1107,457571,454920,-1.123493,53.987131,3,2,1,17/02/2015
ACCID1108,460310,453479,-1.082012,53.973869,3,2,1,18/02/2015
ACCID1109,460933,454935,-1.072225,53.986881,2,2,1,19/02/2015
ACCID1110,457736,452399,-1.121454,53.964457,3,1,1,19/02/2015
ACCID1111,456752,453663,-1.136216,53.975925,3,2,1,19/02/2015
ACCID1112,460539,447968,-1.079612,53.924318,2,2,1,20/02/2015
ACCID1113,457864,450038,-1.11995,53.943225,3,2,1,23/02/2015
ACCID1114,456194,449150,-1.145551,53.935429,3,2,1,23/02/2015
ACCID1115,459670,451491,-1.092156,53.956078,3,2,1,23/02/2015
ACCID1116,460869,450068,-1.07417,53.943151,3,2,1,24/02/2015
ACCID1117,460342,452777,-1.081663,53.967557,3,2,1,24/02/2015
ACCID1118,456269,453267,-1.143652,53.972419,3,2,2,23/02/2015
ACCID1119,464128,455236,-1.023443,53.9892,3,3,3,26/02/2015
ACCID1120,459010,452835,-1.101953,53.968232,3,1,2,27/02/2015
ACCID1121,461983,459311,-1.055324,54.026081,3,1,4,28/02/2015
ACCID1122,460764,450901,-1.075604,53.950649,3,2,3,28/02/2015
ACCID1123,460854,452484,-1.073918,53.964864,2,2,1,04/03/2015
ACCID1124,456857,452107,-1.134904,53.96193,3,2,1,04/03/2015
ACCID1125,459659,451507,-1.092321,53.956223,3,2,2,07/03/2015
ACCID1126,456629,456431,-1.137577,54.000813,3,2,1,06/03/2015
ACCID1127,460787,451344,-1.075166,53.954627,3,2,1,10/03/2015
ACCID1128,462934,455186,-1.041661,53.988897,3,2,1,05/02/2015
ACCID1129,457652,452460,-1.122722,53.965014,3,2,1,09/03/2015
ACCID1130,458479,451409,-1.11032,53.955477,3,3,2,11/03/2015
ACCID1131,459509,451275,-1.094651,53.954155,3,2,1,13/03/2015
ACCID1132,459995,456068,-1.086305,53.997172,3,2,1,13/03/2015
ACCID1133,460027,451982,-1.08662,53.960449,3,1,1,14/03/2015
ACCID1134,459731,451424,-1.09124,53.955469,3,2,1,14/03/2015
ACCID1135,456555,451207,-1.139673,53.953875,3,1,1,11/03/2015
ACCID1136,464345,453363,-1.020529,53.972341,2,1,1,15/03/2015
ACCID1137,460973,451125,-1.072375,53.952637,3,2,1,13/03/2015
ACCID1138,459317,453619,-1.097122,53.975242,3,2,1,17/03/2015
ACCID1139,459570,451255,-1.093726,53.953969,3,2,2,17/03/2015
ACCID1140,459390,451040,-1.09651,53.952057,3,2,1,17/03/2015
ACCID1141,470019,450961,-0.934594,53.950021,2,2,1,20/03/2015
ACCID1142,459690,451725,-1.091806,53.958179,2,2,1,16/03/2015
ACCID1143,459838,451660,-1.089563,53.957577,3,2,1,20/03/2015
ACCID1144,457847,451480,-1.119936,53.956186,3,2,1,23/03/2015
ACCID1145,462622,451495,-1.047176,53.955766,3,2,1,21/03/2015
ACCID1146,461381,452734,-1.065836,53.967049,3,2,1,24/03/2015
ACCID1147,457583,451658,-1.123925,53.957815,3,5,2,25/03/2015
ACCID1148,461329,451338,-1.066908,53.954509,3,2,1,27/03/2015
ACCID1149,460129,452092,-1.085044,53.961426,3,1,1,26/03/2015
ACCID1150,465446,458361,-1.002674,54.017117,1,1,1,29/03/2015
ACCID1151,457864,452347,-1.119513,53.963975,3,2,1,30/03/2015
ACCID1152,462468,451796,-1.049461,53.958489,3,2,1,31/03/2015
ACCID1153,467169,453007,-0.977562,53.968784,3,2,1,01/04/2015
ACCID1154,461953,451991,-1.057269,53.960303,3,1,1,01/04/2015
ACCID1155,456269,454527,-1.143419,53.983742,3,2,1,02/04/2015
ACCID1156,464785,452050,-1.014101,53.960487,3,2,3,03/04/2015
ACCID1157,462803,443263,-1.046105,53.881767,2,2,2,05/04/2015
ACCID1158,461881,451088,-1.058549,53.952197,3,2,1,26/03/2015
ACCID1159,465597,457387,-1.00058,54.008345,2,2,3,06/04/2015
ACCID1160,452258,452080,-1.204997,53.962171,1,3,4,06/04/2015
ACCID1161,460073,451995,-1.085917,53.960561,3,1,1,07/04/2015
ACCID1162,457763,452379,-1.121046,53.964274,3,2,1,09/04/2015
ACCID1163,460682,452178,-1.0766,53.962134,3,1,1,10/04/2015
ACCID1164,460599,451834,-1.077933,53.959053,3,1,1,11/04/2015
ACCID1165,458971,454868,-1.102155,53.986506,2,2,4,11/04/2015
ACCID1166,457728,450890,-1.121861,53.950897,3,1,1,12/04/2015
ACCID1167,459157,452062,-1.099862,53.961268,3,2,1,13/04/2015
ACCID1168,459834,451359,-1.089683,53.954873,3,1,1,14/04/2015
ACCID1169,458406,449775,-1.111744,53.940801,3,2,1,14/04/2015
ACCID1170,461863,451307,-1.058778,53.954167,3,1,1,16/04/2015
ACCID1171,460852,452488,-1.073947,53.9649,3,2,1,17/04/2015
ACCID1172,462908,450558,-1.043011,53.947311,3,2,1,15/04/2015
ACCID1173,465922,443387,-0.998639,53.882495,3,1,1,17/04/2015
ACCID1174,457581,454860,-1.123352,53.98659,3,2,1,18/04/2015
ACCID1175,462162,447020,-1.055093,53.915606,3,2,1,17/04/2015
ACCID1176,458452,455250,-1.109996,53.989997,3,1,1,15/04/2015
ACCID1177,460811,452063,-1.074657,53.961086,3,1,1,19/04/2015
ACCID1178,457565,451753,-1.124182,53.958671,3,2,2,20/04/2015
ACCID1179,459660,450993,-1.092406,53.951604,3,2,1,20/04/2015
ACCID1180,455748,447493,-1.152646,53.920586,3,2,1,20/04/2015
ACCID1181,460665,451520,-1.076989,53.956223,2,2,1,21/04/2015
ACCID1182,459731,451427,-1.091239,53.955496,3,2,1,22/04/2015
ACCID1183,460551,451648,-1.078701,53.957387,3,2,1,21/04/2015
ACCID1184,455599,447374,-1.154936,53.919532,3,2,1,24/04/2015
ACCID1185,460209,451647,-1.083913,53.957418,3,1,1,24/04/2015
ACCID1186,460875,450642,-1.073964,53.948308,3,2,1,23/05/2015
ACCID1187,466038,451581,-0.995108,53.956115,2,2,1,25/04/2015
ACCID1188,470395,451051,-0.928845,53.950778,3,2,2,26/04/2015
ACCID1189,456940,456003,-1.132913,53.996933,3,2,1,30/04/2015
ACCID1190,455173,453556,-1.160306,53.975134,3,2,2,03/05/2015
ACCID1191,460124,451627,-1.085212,53.957248,3,2,1,08/05/2015
ACCID1192,460211,452427,-1.083729,53.964427,2,2,1,11/05/2015
ACCID1193,460582,453120,-1.077937,53.970611,3,2,1,09/05/2015
ACCID1194,459869,450327,-1.089352,53.945595,3,1,1,12/05/2015
ACCID1195,460890,450397,-1.073785,53.946105,3,2,1,12/05/2015
ACCID1196,459856,451677,-1.089286,53.957728,3,1,2,12/05/2015
ACCID1197,459205,451230,-1.099292,53.953786,3,2,1,13/05/2015
ACCID1198,456476,453601,-1.140435,53.975398,3,2,1,13/05/2015
ACCID1199,460848,452502,-1.074006,53.965026,3,2,1,13/05/2015
ACCID1200,456795,453083,-1.135668,53.970708,3,2,1,13/05/2015
ACCID1201,460352,451585,-1.081746,53.956844,3,1,1,12/05/2015
ACCID1202,460738,451068,-1.075967,53.952153,3,2,1,14/05/2015
ACCID1203,461774,455822,-1.059221,53.994752,3,2,1,14/05/2015
ACCID1204,460745,451001,-1.075874,53.95155,2,2,1,15/05/2015
ACCID1205,461142,448827,-1.07026,53.931966,3,2,1,10/05/2015
ACCID1206,462735,453482,-1.045046,53.973608,3,2,1,13/05/2015
ACCID1207,459960,451276,-1.08778,53.954112,3,2,1,17/05/2015
ACCID1208,458227,451621,-1.114119,53.95741,3,2,1,18/05/2015
ACCID1209,466640,454114,-0.985383,53.9788,3,2,2,19/05/2015
ACCID1210,459068,455655,-1.100524,53.993567,3,2,1,19/05/2015
ACCID1211,461299,449827,-1.067668,53.940934,3,2,1,20/05/2015
ACCID1212,459878,451079,-1.089068,53.952352,3,2,1,20/05/2015
ACCID1213,466267,457903,-0.990246,54.012897,3,4,2,20/05/2015
ACCID1214,457199,450692,-1.129957,53.949176,3,2,1,21/05/2015
ACCID1215,460311,452092,-1.082271,53.961405,3,1,1,19/05/2015
ACCID1216,458034,447731,-1.117797,53.922474,3,1,1,23/05/2015
ACCID1217,460459,451339,-1.080164,53.954621,3,2,1,20/05/2015
ACCID1218,460654,458544,-1.075761,54.019346,3,2,1,22/05/2015
ACCID1219,458016,447707,-1.118076,53.92226,3,1,2,27/05/2015
ACCID1220,464274,451411,-1.022022,53.954809,2,2,1,28/05/2015
ACCID1221,460120,452085,-1.085183,53.961364,3,2,1,28/05/2015
ACCID1222,461252,452127,-1.067924,53.961609,3,3,1,28/05/2015
ACCID1223,461825,448045,-1.060016,53.924858,3,2,1,29/05/2015
ACCID1224,457269,453676,-1.128332,53.975985,2,2,1,29/05/2015
ACCID1225,459386,451033,-1.096573,53.951995,3,2,1,29/05/2015
ACCID1226,458073,455057,-1.115812,53.988306,3,2,1,01/06/2015
ACCID1227,454440,446969,-1.172652,53.916015,3,3,2,03/06/2015
ACCID1228,462164,450041,-1.05445,53.942755,3,2,1,03/06/2015
ACCID1229,459247,451227,-1.098653,53.953754,3,2,2,03/06/2015
ACCID1230,460293,454276,-1.082114,53.981033,3,2,1,25/05/2015
ACCID1231,466815,458315,-0.981795,54.016528,3,2,1,07/06/2015
ACCID1232,464375,453157,-1.020115,53.970486,3,3,1,10/06/2015
ACCID1233,460476,451726,-1.079829,53.958096,3,1,1,09/06/2015
ACCID1234,457008,450579,-1.132888,53.948182,3,2,1,13/06/2015
ACCID1235,460390,451493,-1.081185,53.956013,3,1,1,09/06/2015
ACCID1236,460908,452678,-1.073056,53.966601,2,2,1,17/06/2015
ACCID1237,460080,451571,-1.085893,53.95675,3,2,1,15/06/2015
ACCID1238,459869,450373,-1.089343,53.946008,3,2,1,17/06/2015
ACCID1239,459767,449645,-1.091039,53.939478,2,1,1,02/05/2015
ACCID1240,464803,451653,-1.013911,53.956918,3,2,2,18/06/2015
ACCID1241,459999,456068,-1.086244,53.997171,3,2,1,19/06/2015
ACCID1242,459869,451819,-1.08906,53.959003,3,2,1,19/06/2015
ACCID1243,462835,459297,-1.042323,54.025852,2,1,1,20/06/2015
ACCID1244,457213,450735,-1.129736,53.949561,3,2,1,19/06/2015
ACCID1245,460929,449447,-1.07338,53.937563,3,1,1,19/06/2015
ACCID1246,464251,451408,-1.022373,53.954785,3,2,1,21/06/2015
ACCID1247,462361,454411,-1.050557,53.982002,2,2,1,23/06/2015
ACCID1248,457539,451427,-1.124639,53.955744,2,1,1,23/06/2015
ACCID1249,461377,452152,-1.066014,53.961819,3,2,1,23/06/2015
ACCID1250,460798,452048,-1.074858,53.960952,3,1,1,17/06/2015
ACCID1251,460501,451325,-1.079527,53.95449,3,1,1,22/06/2015
ACCID1252,458060,452246,-1.116545,53.963046,3,2,1,24/06/2015
ACCID1253,460592,452724,-1.077863,53.967052,3,1,1,25/06/2015
ACCID1254,461800,454879,-1.059016,53.986275,3,2,1,25/06/2015
ACCID1255,462510,448246,-1.049546,53.926582,2,1,2,27/06/2015
ACCID1256,457132,450991,-1.130922,53.951871,3,3,1,28/06/2015
ACCID1257,460285,451000,-1.082882,53.951594,3,2,1,29/06/2015
ACCID1258,462374,454397,-1.050362,53.981874,3,1,1,29/06/2015
ACCID1259,457592,451438,-1.123829,53.955837,3,2,1,29/06/2015
ACCID1260,457573,452140,-1.123987,53.962148,3,2,1,29/06/2015
ACCID1261,461460,447899,-1.065603,53.923589,3,2,1,30/06/2015
ACCID1262,457543,454922,-1.12392,53.987152,3,2,1,26/06/2015
ACCID1263,460305,453445,-1.082095,53.973564,3,2,1,30/06/2015
ACCID1264,453798,447492,-1.182334,53.920782,3,2,1,29/06/2015
ACCID1265,457577,451441,-1.124057,53.955865,3,1,1,01/07/2015
ACCID1266,462273,452105,-1.052369,53.96129,3,2,1,01/07/2015
ACCID1267,464353,453197,-1.020442,53.970849,3,1,1,02/07/2015
ACCID1268,459963,453316,-1.087334,53.972445,3,1,1,02/07/2015
ACCID1269,456038,450588,-1.147664,53.948368,3,3,2,02/07/2015
ACCID1270,459627,452679,-1.09258,53.966759,2,2,1,01/07/2015
ACCID1271,456806,448899,-1.136277,53.933106,3,2,3,04/07/2015
ACCID1272,459897,456015,-1.08781,53.996707,3,2,1,03/07/2015
ACCID1273,458954,451257,-1.103111,53.954057,3,2,1,08/07/2015
ACCID1274,460864,453238,-1.073615,53.971639,3,1,1,09/07/2015
ACCID1275,459874,448955,-1.089544,53.933265,3,2,1,10/07/2015
ACCID1276,457700,452157,-1.122048,53.962286,3,2,1,10/07/2015
ACCID1277,458720,454928,-1.105971,53.987073,2,2,1,10/07/2015
ACCID1278,462675,445209,-1.047655,53.89927,3,2,1,11/07/2015
ACCID1279,457861,451705,-1.11968,53.958206,3,1,1,12/07/2015
ACCID1280,460876,449699,-1.074137,53.939834,2,2,1,12/07/2015
ACCID1281,458844,447135,-1.10558,53.917027,3,1,1,13/07/2015
ACCID1282,464350,456365,-1.01982,53.999318,3,1,3,13/07/2015
ACCID1283,464939,451208,-1.011933,53.952902,3,1,1,13/07/2015
ACCID1284,458846,451003,-1.104806,53.951787,3,3,1,14/07/2015
ACCID1285,456838,451584,-1.135291,53.957232,3,2,1,10/07/2015
ACCID1286,464252,451409,-1.022358,53.954793,3,2,2,15/07/2015
ACCID1287,457528,454865,-1.124159,53.986641,3,2,2,16/07/2015
ACCID1288,460971,453093,-1.072013,53.970323,3,2,1,15/07/2015
ACCID1289,460443,451735,-1.08033,53.958181,3,1,1,17/07/2015
ACCID1290,461519,452564,-1.063767,53.965504,2,1,1,17/07/2015
ACCID1291,454164,446754,-1.176892,53.914112,3,3,1,18/07/2015
ACCID1292,461849,452474,-1.058756,53.964656,3,2,1,19/07/2015
ACCID1293,456248,449206,-1.144719,53.935926,3,2,1,19/07/2015
ACCID1294,460880,450423,-1.073932,53.94634,3,2,1,17/07/2015
ACCID1295,460670,456410,-1.075942,54.000167,3,3,1,20/07/2015
ACCID1296,459931,452402,-1.088001,53.964235,3,2,2,18/07/2015
ACCID1297,464820,456686,-1.012583,54.002144,3,2,1,20/07/2015
ACCID1298,456262,453294,-1.143753,53.972662,3,2,1,19/07/2015
ACCID1299,458468,449782,-1.110798,53.940857,3,2,1,22/07/2015
ACCID1300,460311,451681,-1.082352,53.957711,3,2,1,21/07/2015
ACCID1301,467473,453693,-0.972777,53.974909,2,2,1,25/07/2015
ACCID1302,457890,451545,-1.119268,53.956765,3,2,1,25/07/2015
ACCID1303,457422,452014,-1.126312,53.961032,2,1,1,25/07/2015
ACCID1304,460113,452236,-1.08526,53.962722,3,2,1,24/07/2015
ACCID1305,461132,448124,-1.070552,53.92565,3,2,3,26/07/2015
ACCID1306,457982,447704,-1.118594,53.922237,3,1,2,27/07/2015
ACCID1307,459530,452792,-1.094036,53.967786,2,1,1,28/07/2015
ACCID1308,459538,451225,-1.094219,53.953703,3,2,1,24/07/2015
ACCID1309,458047,447719,-1.117602,53.922365,3,1,1,28/07/2015
ACCID1310,460901,455376,-1.072625,53.990847,3,2,1,28/07/2015
ACCID1311,460346,453990,-1.081362,53.978457,2,2,2,29/07/2015
ACCID1312,463713,451258,-1.030602,53.953503,3,2,1,30/07/2015
ACCID1313,457013,449995,-1.132921,53.942933,3,2,1,30/07/2015
ACCID1314,460378,452838,-1.081102,53.968101,3,2,1,02/08/2015
ACCID1315,459758,453764,-1.090371,53.976494,3,2,1,03/08/2015
ACCID1316,457441,451338,-1.126149,53.954955,3,2,1,04/08/2015
ACCID1317,464898,450957,-1.012611,53.950651,3,2,3,04/08/2015
ACCID1318,456879,455974,-1.133849,53.996679,3,3,2,06/08/2015
ACCID1319,459718,451774,-1.09137,53.958616,3,2,1,05/08/2015
ACCID1320,459890,452457,-1.088615,53.964734,3,2,1,08/08/2015
ACCID1321,460020,451632,-1.086796,53.957305,3,2,1,10/08/2015
ACCID1322,461440,456832,-1.064112,54.003868,2,2,2,11/08/2015
ACCID1323,462439,452042,-1.049852,53.960703,3,2,1,11/08/2015
ACCID1324,460432,451442,-1.080555,53.955549,3,1,1,08/08/2015
ACCID1325,457132,450988,-1.130923,53.951844,2,3,1,12/08/2015
ACCID1326,459259,455733,-1.097596,53.994246,3,1,1,12/08/2015
ACCID1327,460341,452936,-1.081647,53.968986,3,1,1,13/08/2015
ACCID1328,460770,458219,-1.074056,54.016411,3,1,1,11/08/2015
ACCID1329,460342,451653,-1.081885,53.957456,3,1,1,14/08/2015
ACCID1330,464247,451407,-1.022434,53.954776,3,2,1,15/08/2015
ACCID1331,461486,458208,-1.063132,54.016228,3,2,1,15/08/2015
ACCID1332,461031,451788,-1.071359,53.958589,3,2,1,08/08/2015
ACCID1333,460780,452450,-1.075052,53.964567,3,2,1,11/08/2015
ACCID1334,460979,452550,-1.071999,53.965442,3,2,1,16/08/2015
ACCID1335,459562,449998,-1.094093,53.942673,3,1,1,19/08/2015
ACCID1336,459380,454872,-1.095918,53.986495,3,2,1,19/08/2015
ACCID1337,459673,451360,-1.092136,53.9549,3,1,1,19/08/2015
ACCID1338,460026,453521,-1.086333,53.97428,3,1,1,20/08/2015
ACCID1339,461367,448184,-1.066962,53.926161,3,2,1,22/08/2015
ACCID1340,460202,451838,-1.083982,53.959135,2,1,1,22/08/2015
ACCID1341,460873,449791,-1.074164,53.940661,3,2,1,23/08/2015
ACCID1342,457579,448962,-1.124493,53.933587,3,2,1,21/08/2015
ACCID1343,459852,453145,-1.089059,53.970921,3,1,1,23/08/2015
ACCID1344,460216,452158,-1.083705,53.962009,2,2,1,28/08/2015
ACCID1345,460207,451645,-1.083944,53.9574,3,2,2,30/08/2015
ACCID1346,460782,457061,-1.074103,54.006004,3,2,1,31/08/2015
ACCID1347,459869,451592,-1.089104,53.956963,3,1,1,31/08/2015
ACCID1348,460395,456268,-1.080164,53.998923,3,3,1,03/09/2015
ACCID1349,459568,453741,-1.093272,53.97631,3,1,1,04/09/2015
ACCID1350,459929,451729,-1.088163,53.958187,3,1,1,05/09/2015
ACCID1351,460098,452265,-1.085483,53.962984,3,2,1,02/09/2015
ACCID1352,457593,451435,-1.123815,53.95581,3,1,1,07/09/2015
ACCID1353,458843,449920,-1.10506,53.942055,3,2,1,08/05/2015
ACCID1354,456549,451189,-1.139768,53.953714,3,1,1,05/09/2015
ACCID1355,459984,453939,-1.086891,53.978041,3,1,1,09/09/2015
ACCID1356,461551,452214,-1.06335,53.962355,3,2,3,09/09/2015
ACCID1357,458758,452578,-1.105844,53.965951,3,1,1,04/09/2015
ACCID1358,459788,453737,-1.089919,53.976248,3,2,1,10/09/2015
ACCID1359,460046,452014,-1.086324,53.960735,2,2,1,10/09/2015
ACCID1360,460908,455382,-1.072517,53.990901,3,2,1,10/09/2015
ACCID1361,459750,455865,-1.090081,53.995376,3,3,1,12/09/2015
ACCID1362,470004,450956,-0.934823,53.949978,3,2,5,12/09/2015
ACCID1363,463887,455315,-1.027102,53.989939,3,2,2,13/09/2015
ACCID1364,457917,447843,-1.119558,53.923493,3,1,1,15/09/2015
ACCID1365,458071,447871,-1.117208,53.923728,3,3,1,14/09/2015
ACCID1366,461869,454261,-1.058089,53.980713,3,2,1,17/09/2015
ACCID1367,459986,451731,-1.087294,53.958198,3,1,1,14/09/2015
ACCID1368,464249,451401,-1.022405,53.954722,2,2,4,18/09/2015
ACCID1369,461138,449847,-1.070117,53.941133,3,1,1,19/09/2015
ACCID1370,459372,451218,-1.09675,53.953659,2,1,1,19/09/2015
ACCID1371,462764,443401,-1.04667,53.883012,3,3,1,20/09/2015
ACCID1372,460781,452453,-1.075036,53.964594,2,1,2,20/09/2015
ACCID1373,464788,451654,-1.014139,53.956928,3,2,1,21/09/2015
ACCID1374,462137,453929,-1.05407,53.977697,3,2,1,22/09/2015
ACCID1375,461179,452852,-1.068891,53.968133,3,2,1,22/09/2015
ACCID1376,457987,452291,-1.117649,53.963458,3,2,1,22/09/2015
ACCID1377,460862,452581,-1.073776,53.965735,3,2,1,25/09/2015
ACCID1378,459884,451408,-1.088912,53.955307,3,1,1,25/09/2015
ACCID1379,459137,447290,-1.101089,53.918386,3,1,1,25/09/2015
ACCID1380,462047,450800,-1.056078,53.949589,3,1,1,26/09/2015
ACCID1381,460859,449949,-1.074346,53.942083,3,2,1,28/09/2015
ACCID1382,467470,453695,-0.972822,53.974927,3,2,1,29/09/2015
ACCID1383,461019,451837,-1.071532,53.95903,3,2,1,29/09/2015
ACCID1384,457347,452660,-1.127333,53.966846,3,1,1,29/09/2015
ACCID1385,466952,452524,-0.980975,53.964471,3,5,1,30/09/2015
ACCID1386,459096,451236,-1.100952,53.953852,2,3,1,01/10/2015
ACCID1387,457615,454857,-1.122834,53.98656,3,2,1,01/10/2015
ACCID1388,460594,452259,-1.077925,53.962873,2,3,1,01/10/2015
ACCID1389,458150,449049,-1.115781,53.934305,3,1,1,02/10/2015
ACCID1390,462577,451562,-1.047848,53.956373,3,2,1,29/09/2015
ACCID1391,458586,450143,-1.108932,53.944088,3,2,1,29/09/2015
ACCID1392,460356,452837,-1.081438,53.968095,3,1,1,03/10/2015
ACCID1393,463657,450991,-1.03151,53.951111,3,1,1,04/10/2015
ACCID1394,457590,454865,-1.123214,53.986634,3,2,1,06/10/2015
ACCID1395,460314,452732,-1.082099,53.967156,3,1,1,06/10/2015
ACCID1396,458412,451805,-1.111265,53.959043,3,1,1,06/10/2015
ACCID1397,462667,451278,-1.046534,53.95381,3,1,1,02/10/2015
ACCID1398,457614,454945,-1.122833,53.98735,3,2,1,08/10/2015
ACCID1399,462061,452363,-1.055547,53.963634,3,2,1,09/10/2015
ACCID1400,455949,447470,-1.14959,53.920357,2,2,2,09/10/2015
ACCID1401,460445,451316,-1.080382,53.954416,2,1,1,11/10/2015
ACCID1402,457757,452387,-1.121136,53.964347,3,1,1,11/10/2015
ACCID1403,460355,452846,-1.081451,53.968176,3,2,1,11/10/2015
ACCID1404,457116,451009,-1.131162,53.952034,3,2,1,12/10/2015
ACCID1405,459327,453039,-1.097082,53.970029,3,2,1,08/10/2015
ACCID1406,461844,451306,-1.059068,53.954161,3,2,1,13/10/2015
ACCID1407,458471,453889,-1.109967,53.977765,3,2,2,13/10/2015
ACCID1408,460860,449936,-1.074333,53.941966,3,2,1,10/10/2015
ACCID1409,459674,451499,-1.092094,53.956149,3,1,1,16/10/2015
ACCID1410,459298,450913,-1.097937,53.950926,3,2,2,30/09/2015
ACCID1411,459662,452647,-1.092052,53.966467,3,2,1,16/10/2015
ACCID1412,462802,451665,-1.044398,53.957272,3,2,2,20/10/2015
ACCID1413,457332,450033,-1.128054,53.943239,3,2,1,20/10/2015
ACCID1414,460248,452479,-1.083154,53.96489,3,1,1,20/10/2015
ACCID1415,461902,452225,-1.057998,53.962412,3,1,1,21/10/2015
ACCID1416,460262,452623,-1.082913,53.966182,2,2,1,25/09/2015
ACCID1417,461243,452658,-1.067954,53.966382,3,2,1,22/10/2015
ACCID1418,464543,450317,-1.018154,53.944944,2,1,2,23/10/2015
ACCID1419,457412,451382,-1.126583,53.955353,3,2,1,24/10/2015
ACCID1420,464243,454799,-1.021782,53.985258,3,2,1,26/10/2015
ACCID1421,460543,451315,-1.078889,53.954395,2,2,1,26/10/2015
ACCID1422,459757,455950,-1.089958,53.996139,3,2,2,24/10/2015
ACCID1423,461966,447235,-1.058033,53.917562,3,2,2,29/10/2015
ACCID1424,453324,451378,-1.188873,53.955754,3,1,1,28/10/2015
ACCID1425,458807,446500,-1.106265,53.911324,2,2,4,30/10/2015
ACCID1426,454861,451446,-1.165441,53.956205,3,2,1,28/10/2015
ACCID1427,460221,452160,-1.083629,53.962026,3,1,1,28/10/2015
ACCID1428,457464,447803,-1.126462,53.923184,3,2,3,02/11/2015
ACCID1429,455702,453437,-1.152264,53.974008,2,2,2,02/11/2015
ACCID1430,460912,458166,-1.071899,54.015918,3,2,1,04/11/2015
ACCID1431,452587,454147,-1.199627,53.980714,3,2,1,05/11/2015
ACCID1432,459671,451684,-1.092103,53.957812,3,1,3,06/11/2015
ACCID1433,462607,450552,-1.047597,53.947293,3,2,1,06/11/2015
ACCID1434,461203,455139,-1.068067,53.988682,3,2,1,06/11/2015
ACCID1435,464510,456249,-1.017404,53.998255,3,3,1,07/11/2015
ACCID1436,461216,448144,-1.069269,53.92582,3,2,1,07/11/2015
ACCID1437,461066,451421,-1.070899,53.955286,3,2,1,07/11/2015
ACCID1438,459424,451073,-1.095986,53.95235,2,2,1,09/11/2015
ACCID1439,455692,447281,-1.153537,53.918686,2,2,3,09/11/2015
ACCID1440,457282,452702,-1.128316,53.96723,2,2,1,10/11/2015
ACCID1441,457838,450063,-1.120341,53.943453,3,2,1,10/11/2015
ACCID1442,460481,451353,-1.079826,53.954744,2,2,1,13/11/2015
ACCID1443,457285,450789,-1.128629,53.950038,3,2,1,13/11/2015
ACCID1444,460665,451309,-1.077031,53.954327,3,2,4,14/11/2015
ACCID1445,459433,454694,-1.095144,53.984889,3,2,1,12/11/2015
ACCID1446,455024,447226,-1.163716,53.918263,2,3,2,14/10/2015
ACCID1447,460469,451840,-1.079913,53.959122,3,1,1,16/11/2015
ACCID1448,457425,444515,-1.127672,53.89364,3,1,1,17/11/2015
ACCID1449,459992,451932,-1.087163,53.960004,3,1,1,17/11/2015
ACCID1450,460444,451751,-1.080311,53.958325,3,1,1,14/11/2015
ACCID1451,460135,452306,-1.084911,53.963348,3,2,1,18/11/2015
ACCID1452,460892,456511,-1.072535,54.001048,3,2,1,19/11/2015
ACCID1453,457324,450749,-1.128042,53.949675,3,2,1,20/11/2015
ACCID1454,457646,459158,-1.121548,54.025207,3,2,1,20/11/2015
ACCID1455,460867,450717,-1.074071,53.948983,3,2,3,21/11/2015
ACCID1456,461435,447929,-1.065978,53.923862,3,2,2,21/11/2015
ACCID1457,461836,448041,-1.05985,53.924821,3,1,1,21/11/2015
ACCID1458,458175,454605,-1.114343,53.984232,3,2,1,15/11/2015
ACCID1459,461237,451838,-1.06821,53.959014,3,2,1,24/11/2015
ACCID1460,459312,453050,-1.097309,53.970129,3,2,1,24/11/2015
ACCID1461,462213,451275,-1.053452,53.953838,3,2,1,23/11/2015
ACCID1462,459402,454044,-1.095743,53.979052,3,2,1,23/11/2015
ACCID1463,460123,452088,-1.085136,53.961391,3,2,1,27/11/2015
ACCID1464,459715,451416,-1.091485,53.955399,3,1,1,28/11/2015
ACCID1465,460930,452887,-1.072679,53.968477,3,1,1,29/11/2015
ACCID1466,460779,457061,-1.074149,54.006004,3,2,1,30/11/2015
ACCID1467,459632,452775,-1.092485,53.967621,3,1,1,25/11/2015
ACCID1468,457584,454903,-1.123298,53.986976,3,2,1,30/11/2015
ACCID1469,458694,449601,-1.10739,53.939205,2,2,2,03/12/2015
ACCID1470,459964,451271,-1.08772,53.954067,3,2,1,03/12/2015
ACCID1471,456827,451526,-1.13547,53.956712,3,2,1,05/12/2015
ACCID1472,461534,451330,-1.063787,53.954413,3,2,1,05/12/2015
ACCID1473,462145,452277,-1.054285,53.962851,3,2,1,07/12/2015
